Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.05, Gamma: 0.0001",2,3,9,30,72.72727273,0,40,,,
"Nu: 0.05, Gamma: 0.0002",2,3,18,21,52.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0003",2,3,18,21,52.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.005",4,1,32,7,25,0,40,,,
"Nu: 0.05, Gamma: 0.05",4,1,31,8,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0625",4,1,31,8,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.1",4,1,31,8,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.2",4,1,29,10,31.81818182,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,2,9,30,75,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,2,8,31,77.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,2,5,34,84.09090909,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,2,5,34,84.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,3,7,32,77.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,2,20,19,50,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,2,20,19,50,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,25,14,43.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,1,25,14,40.90909091,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,1,29,10,31.81818182,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,2,9,30,75,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,2,8,31,77.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,2,5,34,84.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,2,5,34,84.09090909,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,3,15,24,59.09090909,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,2,22,17,45.45454545,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,2,24,15,40.90909091,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,24,15,45.45454545,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,24,15,45.45454545,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,1,21,18,50,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,2,8,31,77.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,2,8,31,77.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,2,5,34,84.09090909,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,2,5,34,84.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,19,20,54.54545455,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,24,15,43.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.005",5,0,24,15,45.45454545,0,40,,,
"Nu: 0.2, Gamma: 0.05",5,0,23,16,47.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.0625",5,0,23,16,47.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.1",5,0,23,16,47.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,1,14,25,65.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,2,6,33,81.81818182,0,40,,,
