Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.7, Gamma: 0.5",39,60,157,73,34.04255319148936,0,40,
"Nu: 0.7, Gamma: 0.7",32,67,149,81,34.34650455927052,0,40,
"Nu: 0.7, Gamma: 0.9",33,66,147,83,35.25835866261398,0,40,
"Nu: 0.7, Gamma: 0.99",33,66,147,83,35.25835866261398,0,40,
"Nu: 0.9, Gamma: 0.0001",7,92,10,220,68.9969604863222,0,40,
"Nu: 0.9, Gamma: 0.0002",7,92,10,220,68.9969604863222,0,40,
"Nu: 0.9, Gamma: 0.0003",7,92,10,220,68.9969604863222,0,40,
"Nu: 0.9, Gamma: 0.0004",7,92,10,220,68.9969604863222,0,40,
"Nu: 0.9, Gamma: 0.005",7,92,10,220,68.9969604863222,0,40,
"Nu: 0.9, Gamma: 0.05",6,93,10,220,68.69300911854104,0,40,
"Nu: 0.9, Gamma: 0.0625",6,93,10,220,68.69300911854104,0,40,
"Nu: 0.9, Gamma: 0.1",8,91,10,220,69.30091185410335,0,40,
"Nu: 0.9, Gamma: 0.2",13,86,10,220,70.82066869300911,0,40,
"Nu: 0.9, Gamma: 0.5",10,89,0,230,72.94832826747721,0,40,
"Nu: 0.9, Gamma: 0.7",10,89,0,230,72.94832826747721,0,40,
"Nu: 0.9, Gamma: 0.9",10,89,0,230,72.94832826747721,0,40,
"Nu: 0.9, Gamma: 0.99",8,91,0,230,72.3404255319149,0,40,
