Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.54098361,28
"Nu: 0.1, Gamma: 0.99",12,0,3,33,93.75,0,40,,,
"Nu: 0.2, Gamma: 0.0001",7,5,24,12,39.58333333,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,28,8,39.58333333,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,28,8,39.58333333,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,28,8,39.58333333,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,28,8,39.58333333,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,27,9,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,26,10,43.75,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,24,12,47.91666667,0,40,,,
"Nu: 0.2, Gamma: 0.2",12,0,14,22,70.83333333,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,5,31,89.58333333,0,40,,,
"Nu: 0.2, Gamma: 0.9",12,0,3,33,93.75,0,40,,,
"Nu: 0.2, Gamma: 0.99",12,0,3,33,93.75,0,40,,,
"Nu: 0.5, Gamma: 0.0001",8,4,20,16,50,0,40,,,
"Nu: 0.5, Gamma: 0.0002",8,4,20,16,50,0,40,,,
"Nu: 0.5, Gamma: 0.0003",7,5,20,16,47.91666667,0,40,,,
"Nu: 0.5, Gamma: 0.0004",8,4,20,16,50,0,40,,,
"Nu: 0.5, Gamma: 0.005",8,4,20,16,50,0,40,,,
"Nu: 0.5, Gamma: 0.05",8,4,15,21,60.41666667,0,40,,,
"Nu: 0.5, Gamma: 0.0625",8,4,15,21,60.41666667,0,40,,,
"Nu: 0.5, Gamma: 0.1",8,4,15,21,60.41666667,0,40,,,
"Nu: 0.5, Gamma: 0.2",8,4,11,25,68.75,0,40,,,
"Nu: 0.5, Gamma: 0.5",8,4,5,31,81.25,0,40,,,
"Nu: 0.5, Gamma: 0.7",10,2,3,33,89.58333333,0,40,,,
"Nu: 0.5, Gamma: 0.9",9,3,0,36,93.75,0,40,,,
"Nu: 0.5, Gamma: 0.99",9,3,0,36,93.75,0,40,,,
"Nu: 0.7, Gamma: 0.0001",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0002",6,6,11,25,64.58333333,0,40,,,
"Nu: 0.7, Gamma: 0.0003",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0004",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.005",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.05",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0625",7,5,9,27,70.83333333,0,40,,,
"Nu: 0.7, Gamma: 0.1",7,5,7,29,75,0,40,,,
"Nu: 0.7, Gamma: 0.2",6,6,5,31,77.08333333,0,40,,,
"Nu: 0.7, Gamma: 0.5",6,6,0,36,87.5,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,9,0,36,81.25,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,9,0,36,81.25,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,8,0,36,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0001",4,8,7,29,68.75,0,40,,,
"Nu: 0.9, Gamma: 0.0002",4,8,6,30,70.83333333,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,9,3,33,75,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,9,3,33,75,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,9,4,32,72.91666667,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,9,4,32,72.91666667,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,9,4,32,72.91666667,0,40,,,
"Nu: 0.9, Gamma: 0.1",4,8,4,32,75,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,10,0,36,79.16666667,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,10,0,36,79.16666667,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,10,0,36,79.16666667,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,0,36,77.08333333,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,11,0,36,77.08333333,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,10,0,36,79.16666667,0,40,,,
