Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.005, Gamma: 0.99",5,0,35,15,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0001",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0002",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0003",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0004",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.05, Gamma: 0.5",5,0,36,14,34.54545455,0,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,37,13,32.72727273,0,40,,,
"Nu: 0.05, Gamma: 0.9",5,0,36,14,34.54545455,0,40,,,
"Nu: 0.05, Gamma: 0.99",5,0,35,15,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,3,39,11,23.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,38,12,30.90909091,0,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,40,10,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.9",5,0,34,16,38.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.99",5,0,34,16,38.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,45,5,18.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,36,14,34.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.7",5,0,37,13,32.72727273,0,40,,,
"Nu: 0.1, Gamma: 0.9",5,0,34,16,38.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.99",5,0,32,18,41.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,2,41,9,21.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,41,9,23.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,1,38,12,29.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,30,20,43.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,27,23,49.09090909,0,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,29,21,45.45454545,0,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,31,19,41.81818182,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,3,38,12,25.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,3,26,24,47.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,9,41,80,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,8,42,81.81818182,0,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,2,48,92.72727273,0,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,2,48,92.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,3,26,24,47.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,3,26,24,47.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,3,26,24,47.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,3,26,24,47.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,3,27,23,45.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,3,25,25,49.09090909,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,3,25,25,49.09090909,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,3,24,26,50.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,3,16,34,65.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,3,2,48,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,3,2,48,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,2,48,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,2,48,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,17,33,60,0,40,,,
