Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.22641509,462
"Nu: 0.0625, Gamma: 0.0001",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",0,5,1,43,87.75510204,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",1,4,9,35,73.46938776,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",1,4,9,35,73.46938776,0,40,,,
"Nu: 0.0625, Gamma: 0.005",1,4,11,33,69.3877551,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,3,20,24,53.06122449,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",1,4,19,25,53.06122449,0,40,,,
"Nu: 0.0625, Gamma: 0.1",1,4,19,25,53.06122449,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,2,16,28,63.26530612,0,40,,,
"Nu: 0.0625, Gamma: 0.5",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,3,40,4,12.24489796,0,40,,,
"Nu: 0.1, Gamma: 0.0002",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0003",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,2,28,16,38.7755102,0,40,,,
"Nu: 0.1, Gamma: 0.005",1,4,9,35,73.46938776,0,40,,,
"Nu: 0.1, Gamma: 0.05",1,4,7,37,77.55102041,0,40,,,
"Nu: 0.1, Gamma: 0.0625",1,4,7,37,77.55102041,0,40,,,
"Nu: 0.1, Gamma: 0.1",1,4,8,36,75.51020408,0,40,,,
"Nu: 0.1, Gamma: 0.2",1,4,9,35,73.46938776,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,2,6,38,83.67346939,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.9",1,4,2,42,87.75510204,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0001",0,5,1,43,87.75510204,0,40,,,
"Nu: 0.2, Gamma: 0.0002",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.2, Gamma: 0.0003",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.2, Gamma: 0.0004",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.2, Gamma: 0.005",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.2, Gamma: 0.05",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.2, Gamma: 0.0625",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.2, Gamma: 0.1",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.2, Gamma: 0.2",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,4,2,42,87.75510204,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.99",1,4,2,42,87.75510204,0,40,,,
"Nu: 0.5, Gamma: 0.0001",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.0004",0,5,1,43,87.75510204,0,40,,,
"Nu: 0.5, Gamma: 0.005",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.5, Gamma: 0.1",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.5, Gamma: 0.7",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.5, Gamma: 0.9",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.5, Gamma: 0.99",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,5,1,43,87.75510204,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,5,0,44,89.79591837,0,40,,,
