Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.0004, Gamma: 0.99",133,1,193,37,46.7032967,0,40,,,
"Nu: 0.005, Gamma: 0.0001",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.0002",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.0003",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.0004",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.005",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.05",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.0625",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.1",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.005, Gamma: 0.2",133,1,228,2,37.08791209,0,40,,,
"Nu: 0.005, Gamma: 0.5",133,1,204,26,43.68131868,0,40,,,
"Nu: 0.005, Gamma: 0.7",133,1,200,30,44.78021978,0,40,,,
"Nu: 0.005, Gamma: 0.9",133,1,193,37,46.7032967,0,40,,,
"Nu: 0.005, Gamma: 0.99",131,3,193,37,46.15384615,0,40,,,
"Nu: 0.05, Gamma: 0.0001",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0002",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0003",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0004",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.005",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.05",127,7,227,3,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0625",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.1",126,8,227,3,35.43956044,0,40,,,
"Nu: 0.05, Gamma: 0.2",125,9,224,6,35.98901099,0,40,,,
"Nu: 0.05, Gamma: 0.5",124,10,191,39,44.78021978,0,40,,,
"Nu: 0.05, Gamma: 0.7",124,10,187,43,45.87912088,0,40,,,
"Nu: 0.05, Gamma: 0.9",124,10,187,43,45.87912088,0,40,,,
"Nu: 0.05, Gamma: 0.99",123,11,184,46,46.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",124,10,227,3,34.89010989,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.005",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.05",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.1",123,11,227,3,34.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.2",123,11,224,6,35.43956044,0,40,,,
"Nu: 0.0625, Gamma: 0.5",123,11,190,40,44.78021978,0,40,,,
"Nu: 0.0625, Gamma: 0.7",123,11,187,43,45.6043956,0,40,,,
"Nu: 0.0625, Gamma: 0.9",124,10,188,42,45.6043956,0,40,,,
"Nu: 0.0625, Gamma: 0.99",122,12,184,46,46.15384615,0,40,,,
"Nu: 0.1, Gamma: 0.0001",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.0002",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.0003",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.0004",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.005",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.05",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.0625",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.1",118,16,226,4,33.51648352,0,40,,,
"Nu: 0.1, Gamma: 0.2",116,18,216,14,35.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.5",115,19,187,43,43.40659341,0,40,,,
"Nu: 0.1, Gamma: 0.7",120,14,187,43,44.78021978,0,40,,,
"Nu: 0.1, Gamma: 0.9",120,14,186,44,45.05494505,0,40,,,
"Nu: 0.1, Gamma: 0.99",118,16,181,49,45.87912088,0,40,,,
"Nu: 0.2, Gamma: 0.0001",103,31,223,7,30.21978022,0,40,,,
"Nu: 0.2, Gamma: 0.0002",103,31,223,7,30.21978022,0,40,,,
"Nu: 0.2, Gamma: 0.0003",103,31,223,7,30.21978022,0,40,,,
"Nu: 0.2, Gamma: 0.0004",103,31,223,7,30.21978022,0,40,,,
"Nu: 0.2, Gamma: 0.005",102,32,223,7,29.94505495,0,40,,,
"Nu: 0.2, Gamma: 0.05",102,32,223,7,29.94505495,0,40,,,
"Nu: 0.2, Gamma: 0.0625",102,32,222,8,30.21978022,0,40,,,
"Nu: 0.2, Gamma: 0.1",102,32,221,9,30.49450549,0,40,,,
"Nu: 0.2, Gamma: 0.2",101,33,188,42,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.5",103,31,178,52,42.58241758,0,40,,,
"Nu: 0.2, Gamma: 0.7",108,26,176,54,44.50549451,0,40,,,
"Nu: 0.2, Gamma: 0.9",107,27,177,53,43.95604396,0,40,,,
"Nu: 0.2, Gamma: 0.99",106,28,169,61,45.87912088,0,40,,,
"Nu: 0.5, Gamma: 0.0001",61,73,156,74,37.08791209,0,40,,,
"Nu: 0.5, Gamma: 0.0002",64,70,158,72,37.36263736,0,40,,,
"Nu: 0.5, Gamma: 0.0003",64,70,158,72,37.36263736,0,40,,,
"Nu: 0.5, Gamma: 0.0004",67,67,159,71,37.91208791,0,40,,,
"Nu: 0.5, Gamma: 0.005",67,67,158,72,38.18681319,0,40,,,
"Nu: 0.5, Gamma: 0.05",67,67,158,72,38.18681319,0,40,,,
"Nu: 0.5, Gamma: 0.0625",67,67,158,72,38.18681319,0,40,,,
"Nu: 0.5, Gamma: 0.1",68,66,157,73,38.73626374,0,40,,,
"Nu: 0.5, Gamma: 0.2",69,65,163,67,37.36263736,0,40,,,
"Nu: 0.5, Gamma: 0.5",65,69,149,81,40.10989011,0,40,,,
"Nu: 0.5, Gamma: 0.7",65,69,148,82,40.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.9",67,67,150,80,40.38461538,0,40,,,
"Nu: 0.5, Gamma: 0.99",67,67,150,80,40.38461538,0,40,,,
"Nu: 0.7, Gamma: 0.0001",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.0002",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.0003",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.0004",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.005",44,90,10,220,72.52747253,0,40,,,
"Nu: 0.7, Gamma: 0.05",43,91,143,87,35.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0625",42,92,145,85,34.89010989,0,40,,,
"Nu: 0.7, Gamma: 0.1",41,93,151,79,32.96703297,0,40,,,
"Nu: 0.7, Gamma: 0.2",43,91,149,81,34.06593407,0,40,,,
"Nu: 0.7, Gamma: 0.5",37,97,149,81,32.41758242,0,40,,,
"Nu: 0.7, Gamma: 0.7",34,100,147,83,32.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.9",34,100,145,85,32.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.99",36,98,142,88,34.06593407,0,40,,,
"Nu: 0.9, Gamma: 0.0001",13,121,7,223,64.83516484,0,40,,,
"Nu: 0.9, Gamma: 0.0002",13,121,7,223,64.83516484,0,40,,,
"Nu: 0.9, Gamma: 0.0003",13,121,7,223,64.83516484,0,40,,,
"Nu: 0.9, Gamma: 0.0004",13,121,7,223,64.83516484,0,40,,,
"Nu: 0.9, Gamma: 0.005",13,121,7,223,64.83516484,0,40,,,
"Nu: 0.9, Gamma: 0.05",13,121,5,225,65.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.0625",13,121,5,225,65.38461538,0,40,,,
"Nu: 0.9, Gamma: 0.1",13,121,1,229,66.48351648,0,40,,,
"Nu: 0.9, Gamma: 0.2",11,123,0,230,66.20879121,0,40,,,
