Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,90.90909091
"Nu: 0.5, Gamma: 0.05",3,2,21,29,58.18181818,0,40,,
"Nu: 0.5, Gamma: 0.0625",3,2,21,29,58.18181818,0,40,,
"Nu: 0.5, Gamma: 0.1",3,2,22,28,56.36363636,0,40,,
"Nu: 0.5, Gamma: 0.2",3,2,22,28,56.36363636,0,40,,
"Nu: 0.5, Gamma: 0.5",3,2,22,28,56.36363636,0,40,,
"Nu: 0.5, Gamma: 0.7",1,4,15,35,65.45454545,0,40,,
"Nu: 0.5, Gamma: 0.9",2,3,15,35,67.27272727,0,40,,
"Nu: 0.5, Gamma: 0.99",2,3,14,36,69.09090909,0,40,,
"Nu: 0.7, Gamma: 0.0001",3,2,12,38,74.54545455,0,40,,
"Nu: 0.7, Gamma: 0.0002",3,2,12,38,74.54545455,0,40,,
"Nu: 0.7, Gamma: 0.0003",3,2,12,38,74.54545455,0,40,,
"Nu: 0.7, Gamma: 0.0004",3,2,12,38,74.54545455,0,40,,
"Nu: 0.7, Gamma: 0.005",3,2,18,32,63.63636364,0,40,,
"Nu: 0.7, Gamma: 0.05",3,2,18,32,63.63636364,0,40,,
"Nu: 0.7, Gamma: 0.0625",3,2,18,32,63.63636364,0,40,,
"Nu: 0.7, Gamma: 0.1",3,2,18,32,63.63636364,0,40,,
"Nu: 0.7, Gamma: 0.2",3,2,18,32,63.63636364,0,40,,
"Nu: 0.7, Gamma: 0.5",3,2,19,31,61.81818182,0,40,,
"Nu: 0.7, Gamma: 0.7",2,3,17,33,63.63636364,0,40,,
"Nu: 0.7, Gamma: 0.9",1,4,9,41,76.36363636,0,40,,
"Nu: 0.7, Gamma: 0.99",1,4,8,42,78.18181818,0,40,,
"Nu: 0.9, Gamma: 0.0001",1,4,9,41,76.36363636,0,40,,
"Nu: 0.9, Gamma: 0.0002",3,2,12,38,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.0003",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.0004",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.005",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.05",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.0625",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.1",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.2",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.5",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.7",1,4,10,40,74.54545455,0,40,,
"Nu: 0.9, Gamma: 0.9",1,4,11,39,72.72727273,0,40,,
"Nu: 0.9, Gamma: 0.99",1,4,11,39,72.72727273,0,40,,
"Nu: 0.99, Gamma: 0.0001",1,4,8,42,78.18181818,0,40,,
"Nu: 0.99, Gamma: 0.0002",1,4,8,42,78.18181818,0,40,,
"Nu: 0.99, Gamma: 0.0003",1,4,8,42,78.18181818,0,40,,
"Nu: 0.99, Gamma: 0.0004",1,4,8,42,78.18181818,0,40,,
"Nu: 0.99, Gamma: 0.005",0,5,1,49,89.09090909,0,40,,
"Nu: 0.99, Gamma: 0.05",0,5,1,49,89.09090909,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,5,1,49,89.09090909,0,40,,
"Nu: 0.99, Gamma: 0.1",0,5,2,48,87.27272727,0,40,,
