Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.29078014,290
"Nu: 0.9, Gamma: 0.0002",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.1",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,21,0,117,85.10638298,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,23,0,117,83.68794326,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,22,0,117,84.39716312,0,40,,,
