Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.81021898,156
"Nu: 0.1, Gamma: 0.0004",13,1,31,5,36,0,40,,,
"Nu: 0.1, Gamma: 0.005",13,1,31,5,36,0,40,,,
"Nu: 0.1, Gamma: 0.05",13,1,31,5,36,0,40,,,
"Nu: 0.1, Gamma: 0.0625",13,1,31,5,36,0,40,,,
"Nu: 0.1, Gamma: 0.1",13,1,25,11,48,0,40,,,
"Nu: 0.1, Gamma: 0.2",13,1,14,22,70,0,40,,,
"Nu: 0.1, Gamma: 0.5",11,3,9,27,76,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,4,8,28,76,0,40,,,
"Nu: 0.1, Gamma: 0.9",10,4,6,30,80,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,4,6,30,80,0,40,,,
"Nu: 0.2, Gamma: 0.0001",12,2,27,9,42,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,4,27,9,38,0,40,,,
"Nu: 0.2, Gamma: 0.0003",10,4,27,9,38,0,40,,,
"Nu: 0.2, Gamma: 0.0004",10,4,27,9,38,0,40,,,
"Nu: 0.2, Gamma: 0.005",12,2,28,8,40,0,40,,,
"Nu: 0.2, Gamma: 0.05",12,2,27,9,42,0,40,,,
"Nu: 0.2, Gamma: 0.0625",12,2,26,10,44,0,40,,,
"Nu: 0.2, Gamma: 0.1",12,2,23,13,50,0,40,,,
"Nu: 0.2, Gamma: 0.2",12,2,14,22,68,0,40,,,
"Nu: 0.2, Gamma: 0.5",10,4,6,30,80,0,40,,,
"Nu: 0.2, Gamma: 0.7",10,4,6,30,80,0,40,,,
"Nu: 0.2, Gamma: 0.9",10,4,6,30,80,0,40,,,
"Nu: 0.2, Gamma: 0.99",10,4,6,30,80,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,8,16,20,52,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,8,16,20,52,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,8,16,20,52,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,8,16,20,52,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,8,16,20,52,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,8,12,24,60,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,8,12,24,60,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,8,11,25,62,0,40,,,
"Nu: 0.5, Gamma: 0.2",7,7,9,27,68,0,40,,,
"Nu: 0.5, Gamma: 0.5",5,9,6,30,70,0,40,,,
"Nu: 0.5, Gamma: 0.7",6,8,6,30,72,0,40,,,
"Nu: 0.5, Gamma: 0.9",6,8,6,30,72,0,40,,,
"Nu: 0.5, Gamma: 0.99",6,8,6,30,72,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,12,8,28,60,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,11,9,27,60,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,11,9,27,60,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,11,9,27,60,0,40,,,
"Nu: 0.7, Gamma: 0.005",4,10,10,26,60,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,11,8,28,62,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,11,7,29,64,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,11,7,29,64,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,12,6,30,64,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,12,5,31,66,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,12,3,33,70,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,12,3,33,70,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,12,3,33,70,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,13,1,35,72,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,13,1,35,72,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,14,0,36,72,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,13,0,36,74,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,12,0,36,76,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,12,0,36,76,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,12,0,36,76,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,14,0,36,72,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,14,0,36,72,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
