Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.07142857,174
"Nu: 0.0002, Gamma: 0.99",3,2,29,22,44.64285714,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.1",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.2",1,4,11,40,73.21428571,0,40,,,
"Nu: 0.0003, Gamma: 0.5",3,2,31,20,41.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.7",5,0,37,14,33.92857143,0,40,,,
"Nu: 0.0003, Gamma: 0.9",4,1,31,20,42.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.99",3,2,29,22,44.64285714,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.1",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.2",1,4,11,40,73.21428571,0,40,,,
"Nu: 0.0004, Gamma: 0.5",3,2,31,20,41.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.7",3,2,32,19,39.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,2,34,17,35.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.99",3,2,21,30,58.92857143,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,32,19,42.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.7",4,1,41,10,25,0,40,,,
"Nu: 0.005, Gamma: 0.9",4,1,42,9,23.21428571,0,40,,,
"Nu: 0.005, Gamma: 0.99",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0001",2,3,19,32,60.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,37,14,33.92857143,0,40,,,
"Nu: 0.05, Gamma: 0.5",5,0,40,11,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,42,9,25,0,40,,,
"Nu: 0.05, Gamma: 0.9",5,0,40,11,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.99",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,38,13,32.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,39,12,30.35714286,0,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,43,8,23.21428571,0,40,,,
"Nu: 0.0625, Gamma: 0.9",4,1,40,11,26.78571429,0,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,37,14,32.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,48,3,14.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,38,13,32.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.7",5,0,42,9,25,0,40,,,
"Nu: 0.1, Gamma: 0.9",5,0,37,14,33.92857143,0,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,34,17,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,48,3,12.5,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,1,45,6,17.85714286,0,40,,,
