Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.2, Gamma: 0.2",20,7,60,37,45.96774194,0,40,,,
"Nu: 0.2, Gamma: 0.5",21,6,50,47,54.83870968,0,40,,,
"Nu: 0.2, Gamma: 0.7",22,5,36,61,66.93548387,0,40,,,
"Nu: 0.2, Gamma: 0.9",22,5,33,64,69.35483871,0,40,,,
"Nu: 0.2, Gamma: 0.99",21,6,31,66,70.16129032,0,40,,,
"Nu: 0.5, Gamma: 0.0001",12,15,47,50,50,0,40,,,
"Nu: 0.5, Gamma: 0.0002",11,16,48,49,48.38709677,0,40,,,
"Nu: 0.5, Gamma: 0.0003",12,15,48,49,49.19354839,0,40,,,
"Nu: 0.5, Gamma: 0.0004",12,15,48,49,49.19354839,0,40,,,
"Nu: 0.5, Gamma: 0.005",12,15,48,49,49.19354839,0,40,,,
"Nu: 0.5, Gamma: 0.05",12,15,48,49,49.19354839,0,40,,,
"Nu: 0.5, Gamma: 0.0625",12,15,48,49,49.19354839,0,40,,,
"Nu: 0.5, Gamma: 0.1",12,15,47,50,50,0,40,,,
"Nu: 0.5, Gamma: 0.2",12,15,45,52,51.61290323,0,40,,,
"Nu: 0.5, Gamma: 0.5",13,14,37,60,58.87096774,0,40,,,
"Nu: 0.5, Gamma: 0.7",12,15,28,69,65.32258065,0,40,,,
"Nu: 0.5, Gamma: 0.9",14,13,25,72,69.35483871,0,40,,,
"Nu: 0.5, Gamma: 0.99",14,13,22,75,71.77419355,0,40,,,
"Nu: 0.7, Gamma: 0.0001",6,21,31,66,58.06451613,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,22,29,68,58.87096774,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,22,29,68,58.87096774,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,22,29,68,58.87096774,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,22,29,68,58.87096774,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,22,30,67,58.06451613,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,22,30,67,58.06451613,0,40,,,
"Nu: 0.7, Gamma: 0.1",5,22,29,68,58.87096774,0,40,,,
