Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.10526316,160
"Nu: 0.2, Gamma: 0.0003",1,3,7,24,71.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,2,15,16,51.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,2,14,17,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,13,18,57.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,16,15,48.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.0001",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,3,5,26,77.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,3,5,26,77.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0004",1,3,5,26,77.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.005",1,3,10,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,3,9,22,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,3,9,22,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.1",1,3,10,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,10,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,10,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,9,22,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,9,22,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,9,22,65.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,8,23,68.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,8,23,68.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,8,23,68.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,4,27,80,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,3,28,82.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,7,24,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,8,23,68.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,8,23,68.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,7,24,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,7,24,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,7,24,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,6,25,74.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,3,28,80,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,3,28,80,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,31,88.57142857,0,40,,,
