Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.0625, Gamma: 0.7",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,24,7,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,29,2,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,21,10,40,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,21,10,40,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,21,10,40,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,29,2,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,29,2,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,29,2,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,29,2,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,1,28,3,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,24,7,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,14,17,57.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,19,12,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,19,12,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,19,12,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,21,10,37.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,21,10,37.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,22,9,34.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,27,4,20,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,24,7,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,23,8,31.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,22,9,34.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,22,9,34.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,16,15,51.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,16,15,51.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,16,15,51.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,16,15,51.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,16,15,51.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,1,15,16,54.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,15,16,54.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,13,18,60,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,11,20,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,10,21,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,13,18,57.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,13,18,57.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,13,18,57.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,2,9,22,68.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,2,8,23,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,2,7,24,74.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,7,24,74.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,2,4,27,82.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,1,30,91.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,3,28,80,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,3,28,80,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,0,31,91.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,2,5,26,80,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,4,27,77.14285714,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,2,29,82.85714286,0,40,,,
