Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67105263,804
"Nu: 0.7, Gamma: 0.05",9,21,90,26,23.97260274,0,40,,,
"Nu: 0.7, Gamma: 0.0625",9,21,83,33,28.76712329,0,40,,,
"Nu: 0.7, Gamma: 0.1",9,21,69,47,38.35616438,0,40,,,
"Nu: 0.7, Gamma: 0.2",10,20,14,102,76.71232877,0,40,,,
"Nu: 0.7, Gamma: 0.5",11,19,0,116,86.98630137,0,40,,,
"Nu: 0.7, Gamma: 0.7",8,22,0,116,84.93150685,0,40,,,
"Nu: 0.7, Gamma: 0.9",7,23,0,116,84.24657534,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,23,0,116,84.24657534,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,27,9,107,75.34246575,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,27,9,107,75.34246575,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,27,9,107,75.34246575,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,27,9,107,75.34246575,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,27,9,107,75.34246575,0,40,,,
"Nu: 0.9, Gamma: 0.05",4,26,1,115,81.50684932,0,40,,,
"Nu: 0.9, Gamma: 0.0625",4,26,1,115,81.50684932,0,40,,,
"Nu: 0.9, Gamma: 0.1",4,26,1,115,81.50684932,0,40,,,
"Nu: 0.9, Gamma: 0.2",5,25,1,115,82.19178082,0,40,,,
"Nu: 0.9, Gamma: 0.5",4,26,0,116,82.19178082,0,40,,,
"Nu: 0.9, Gamma: 0.7",3,27,0,116,81.50684932,0,40,,,
