Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.1, Gamma: 0.9",10,3,72,39,39.51612903,0,40
"Nu: 0.1, Gamma: 0.99",10,3,70,41,41.12903226,0,40
"Nu: 0.2, Gamma: 0.0001",10,3,78,33,34.67741935,0,40
"Nu: 0.2, Gamma: 0.0002",7,6,79,32,31.4516129,0,40
"Nu: 0.2, Gamma: 0.0003",11,2,80,31,33.87096774,0,40
"Nu: 0.2, Gamma: 0.0004",11,2,80,31,33.87096774,0,40
"Nu: 0.2, Gamma: 0.005",11,2,80,31,33.87096774,0,40
"Nu: 0.2, Gamma: 0.05",10,3,79,32,33.87096774,0,40
"Nu: 0.2, Gamma: 0.0625",10,3,78,33,34.67741935,0,40
"Nu: 0.2, Gamma: 0.1",9,4,75,36,36.29032258,0,40
"Nu: 0.2, Gamma: 0.2",9,4,73,38,37.90322581,0,40
"Nu: 0.2, Gamma: 0.5",9,4,71,40,39.51612903,0,40
"Nu: 0.2, Gamma: 0.7",8,5,65,46,43.5483871,0,40
"Nu: 0.2, Gamma: 0.9",7,6,61,50,45.96774194,0,40
"Nu: 0.2, Gamma: 0.99",7,6,63,48,44.35483871,0,40
"Nu: 0.5, Gamma: 0.0001",6,7,44,67,58.87096774,0,40
"Nu: 0.5, Gamma: 0.0002",6,7,44,67,58.87096774,0,40
"Nu: 0.5, Gamma: 0.0003",6,7,44,67,58.87096774,0,40
"Nu: 0.5, Gamma: 0.0004",6,7,44,67,58.87096774,0,40
"Nu: 0.5, Gamma: 0.005",6,7,44,67,58.87096774,0,40
"Nu: 0.5, Gamma: 0.05",6,7,43,68,59.67741935,0,40
"Nu: 0.5, Gamma: 0.0625",6,7,43,68,59.67741935,0,40
"Nu: 0.5, Gamma: 0.1",6,7,44,67,58.87096774,0,40
"Nu: 0.5, Gamma: 0.2",5,8,38,73,62.90322581,0,40
"Nu: 0.5, Gamma: 0.5",2,11,38,73,60.48387097,0,40
"Nu: 0.5, Gamma: 0.7",3,10,29,82,68.5483871,0,40
"Nu: 0.5, Gamma: 0.9",4,9,31,80,67.74193548,0,40
"Nu: 0.5, Gamma: 0.99",5,8,31,80,68.5483871,0,40
"Nu: 0.7, Gamma: 0.0001",4,9,25,86,72.58064516,0,40
"Nu: 0.7, Gamma: 0.0002",4,9,25,86,72.58064516,0,40
"Nu: 0.7, Gamma: 0.0003",4,9,24,87,73.38709677,0,40
"Nu: 0.7, Gamma: 0.0004",4,9,24,87,73.38709677,0,40
"Nu: 0.7, Gamma: 0.005",4,9,24,87,73.38709677,0,40
"Nu: 0.7, Gamma: 0.05",4,9,25,86,72.58064516,0,40
"Nu: 0.7, Gamma: 0.0625",3,10,25,86,71.77419355,0,40
"Nu: 0.7, Gamma: 0.1",3,10,26,85,70.96774194,0,40
"Nu: 0.7, Gamma: 0.2",3,10,25,86,71.77419355,0,40
"Nu: 0.7, Gamma: 0.5",1,12,13,98,79.83870968,0,40
"Nu: 0.7, Gamma: 0.7",1,12,13,98,79.83870968,0,40
"Nu: 0.7, Gamma: 0.9",1,12,11,100,81.4516129,0,40
"Nu: 0.7, Gamma: 0.99",1,12,12,99,80.64516129,0,40
"Nu: 0.9, Gamma: 0.0001",2,11,17,94,77.41935484,0,40
"Nu: 0.9, Gamma: 0.0002",2,11,17,94,77.41935484,0,40
"Nu: 0.9, Gamma: 0.0003",2,11,17,94,77.41935484,0,40
