Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.302866,128
"Nu: 0.5, Gamma: 0.7",61,66,147,83,40.33613445,0,40,,,
"Nu: 0.5, Gamma: 0.9",57,70,141,89,40.89635854,0,40,,,
"Nu: 0.5, Gamma: 0.99",58,69,141,89,41.17647059,0,40,,,
"Nu: 0.7, Gamma: 0.0001",39,88,10,220,72.54901961,0,40,,,
"Nu: 0.7, Gamma: 0.0002",39,88,10,220,72.54901961,0,40,,,
"Nu: 0.7, Gamma: 0.0003",39,88,10,220,72.54901961,0,40,,,
"Nu: 0.7, Gamma: 0.0004",39,88,10,220,72.54901961,0,40,,,
"Nu: 0.7, Gamma: 0.005",39,88,10,220,72.54901961,0,40,,,
"Nu: 0.7, Gamma: 0.05",39,88,10,220,72.54901961,0,40,,,
"Nu: 0.7, Gamma: 0.0625",38,89,10,220,72.26890756,0,40,,,
"Nu: 0.7, Gamma: 0.1",38,89,10,220,72.26890756,0,40,,,
"Nu: 0.7, Gamma: 0.2",34,93,10,220,71.14845938,0,40,,,
"Nu: 0.7, Gamma: 0.5",28,99,149,81,30.53221289,0,40,,,
"Nu: 0.7, Gamma: 0.7",32,95,149,81,31.65266106,0,40,,,
"Nu: 0.7, Gamma: 0.9",36,91,147,83,33.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.99",36,91,147,83,33.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0001",12,115,3,227,66.94677871,0,40,,,
"Nu: 0.9, Gamma: 0.0002",12,115,3,227,66.94677871,0,40,,,
"Nu: 0.9, Gamma: 0.0003",13,114,3,227,67.22689076,0,40,,,
"Nu: 0.9, Gamma: 0.0004",12,115,3,227,66.94677871,0,40,,,
"Nu: 0.9, Gamma: 0.005",12,115,3,227,66.94677871,0,40,,,
"Nu: 0.9, Gamma: 0.05",12,115,0,230,67.78711485,0,40,,,
"Nu: 0.9, Gamma: 0.0625",11,116,0,230,67.5070028,0,40,,,
"Nu: 0.9, Gamma: 0.1",11,116,0,230,67.5070028,0,40,,,
"Nu: 0.9, Gamma: 0.2",12,115,0,230,67.78711485,0,40,,,
