Features: 16,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.7, Gamma: 0.7",0,3,3,29,82.85714285714286,0,40,
"Nu: 0.7, Gamma: 0.9",0,3,2,30,85.71428571428571,0,40,
"Nu: 0.7, Gamma: 0.99",0,3,3,29,82.85714285714286,0,40,
"Nu: 0.9, Gamma: 0.0001",0,3,1,31,88.57142857142857,0,40,
"Nu: 0.9, Gamma: 0.0002",0,3,1,31,88.57142857142857,0,40,
"Nu: 0.9, Gamma: 0.0003",0,3,4,28,80.0,0,40,
"Nu: 0.9, Gamma: 0.0004",0,3,4,28,80.0,0,40,
"Nu: 0.9, Gamma: 0.005",0,3,4,28,80.0,0,40,
"Nu: 0.9, Gamma: 0.05",0,3,4,28,80.0,0,40,
"Nu: 0.9, Gamma: 0.0625",0,3,4,28,80.0,0,40,
"Nu: 0.9, Gamma: 0.1",0,3,4,28,80.0,0,40,
"Nu: 0.9, Gamma: 0.2",0,3,1,31,88.57142857142857,0,40,
"Nu: 0.9, Gamma: 0.5",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.9, Gamma: 0.7",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.9, Gamma: 0.9",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.9, Gamma: 0.99",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.99, Gamma: 0.0001",0,3,4,28,80.0,0,40,
