Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.9",4,0,38,13,30.909090909090907,0,40,
"Nu: 0.1, Gamma: 0.99",4,0,36,15,34.54545454545455,0,40,
"Nu: 0.2, Gamma: 0.0001",2,2,46,5,12.727272727272727,0,40,
"Nu: 0.2, Gamma: 0.0002",2,2,47,4,10.909090909090908,0,40,
"Nu: 0.2, Gamma: 0.0003",0,4,45,6,10.909090909090908,0,40,
"Nu: 0.2, Gamma: 0.0004",0,4,45,6,10.909090909090908,0,40,
"Nu: 0.2, Gamma: 0.005",2,2,48,3,9.090909090909092,0,40,
"Nu: 0.2, Gamma: 0.05",2,2,49,2,7.2727272727272725,0,40,
"Nu: 0.2, Gamma: 0.0625",2,2,49,2,7.2727272727272725,0,40,
"Nu: 0.2, Gamma: 0.1",2,2,48,3,9.090909090909092,0,40,
"Nu: 0.2, Gamma: 0.2",2,2,34,17,34.54545454545455,0,40,
"Nu: 0.2, Gamma: 0.5",2,2,25,26,50.90909090909091,0,40,
"Nu: 0.2, Gamma: 0.7",2,2,39,12,25.454545454545453,0,40,
"Nu: 0.2, Gamma: 0.9",4,0,38,13,30.909090909090907,0,40,
"Nu: 0.2, Gamma: 0.99",4,0,34,17,38.18181818181819,0,40,
"Nu: 0.5, Gamma: 0.0001",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.0002",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.0003",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.0004",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.005",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.05",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.0625",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.1",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.2",0,4,39,12,21.818181818181817,0,40,
"Nu: 0.5, Gamma: 0.5",1,3,20,31,58.18181818181818,0,40,
"Nu: 0.5, Gamma: 0.7",1,3,16,35,65.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.9",1,3,16,35,65.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.99",2,2,11,40,76.36363636363637,0,40,
"Nu: 0.7, Gamma: 0.0001",0,4,35,16,29.09090909090909,0,40,
"Nu: 0.7, Gamma: 0.0002",0,4,35,16,29.09090909090909,0,40,
"Nu: 0.7, Gamma: 0.0003",0,4,35,16,29.09090909090909,0,40,
"Nu: 0.7, Gamma: 0.0004",0,4,35,16,29.09090909090909,0,40,
"Nu: 0.7, Gamma: 0.005",0,4,34,17,30.909090909090907,0,40,
"Nu: 0.7, Gamma: 0.05",0,4,34,17,30.909090909090907,0,40,
"Nu: 0.7, Gamma: 0.0625",0,4,34,17,30.909090909090907,0,40,
"Nu: 0.7, Gamma: 0.1",0,4,34,17,30.909090909090907,0,40,
"Nu: 0.7, Gamma: 0.2",0,4,18,33,60.0,0,40,
"Nu: 0.7, Gamma: 0.5",0,4,15,36,65.45454545454545,0,40,
"Nu: 0.7, Gamma: 0.7",0,4,7,44,80.0,0,40,
"Nu: 0.7, Gamma: 0.9",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.7, Gamma: 0.99",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0001",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0002",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0003",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0004",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.005",0,4,9,42,76.36363636363637,0,40,
"Nu: 0.9, Gamma: 0.05",0,4,15,36,65.45454545454545,0,40,
"Nu: 0.9, Gamma: 0.0625",0,4,16,35,63.63636363636363,0,40,
"Nu: 0.9, Gamma: 0.1",0,4,14,37,67.27272727272727,0,40,
"Nu: 0.9, Gamma: 0.2",0,4,11,40,72.72727272727273,0,40,
"Nu: 0.9, Gamma: 0.5",0,4,1,50,90.9090909090909,0,40,
"Nu: 0.9, Gamma: 0.7",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.9, Gamma: 0.9",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.9, Gamma: 0.99",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.99, Gamma: 0.0001",0,4,9,42,76.36363636363637,0,40,
