Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.58156028,14
"Nu: 0.2, Gamma: 0.0004",13,1,26,11,47.05882353,0,40,,,
"Nu: 0.2, Gamma: 0.005",13,1,26,11,47.05882353,0,40,,,
"Nu: 0.2, Gamma: 0.05",13,1,26,11,47.05882353,0,40,,,
"Nu: 0.2, Gamma: 0.0625",13,1,26,11,47.05882353,0,40,,,
"Nu: 0.2, Gamma: 0.1",13,1,26,11,47.05882353,0,40,,,
"Nu: 0.2, Gamma: 0.2",13,1,25,12,49.01960784,0,40,,,
"Nu: 0.2, Gamma: 0.5",10,4,18,19,56.8627451,0,40,,,
"Nu: 0.2, Gamma: 0.7",11,3,15,22,64.70588235,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,3,13,24,68.62745098,0,40,,,
"Nu: 0.2, Gamma: 0.99",11,3,13,24,68.62745098,0,40,,,
"Nu: 0.5, Gamma: 0.0001",5,9,20,17,43.1372549,0,40,,,
"Nu: 0.5, Gamma: 0.0002",5,9,20,17,43.1372549,0,40,,,
"Nu: 0.5, Gamma: 0.0003",5,9,20,17,43.1372549,0,40,,,
"Nu: 0.5, Gamma: 0.0004",5,9,21,16,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.005",5,9,21,16,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.05",5,9,19,18,45.09803922,0,40,,,
"Nu: 0.5, Gamma: 0.0625",5,9,19,18,45.09803922,0,40,,,
"Nu: 0.5, Gamma: 0.1",5,9,19,18,45.09803922,0,40,,,
"Nu: 0.5, Gamma: 0.2",7,7,17,20,52.94117647,0,40,,,
"Nu: 0.5, Gamma: 0.5",7,7,10,27,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.7",7,7,10,27,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,7,10,27,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.99",7,7,8,29,70.58823529,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,12,16,21,45.09803922,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,12,15,22,47.05882353,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,12,15,22,47.05882353,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,12,15,22,47.05882353,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,12,15,22,47.05882353,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,12,14,23,49.01960784,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,12,12,25,52.94117647,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,12,11,26,54.90196078,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,11,10,27,58.82352941,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,13,8,29,58.82352941,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,11,5,32,68.62745098,0,40,,,
"Nu: 0.7, Gamma: 0.9",4,10,5,32,70.58823529,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,10,5,32,70.58823529,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,14,8,29,56.8627451,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,14,7,30,58.82352941,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,13,3,34,68.62745098,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,13,2,35,70.58823529,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,13,2,35,70.58823529,0,40,,,
