Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.1, Gamma: 0.0001",19,5,109,7,18.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0002",21,3,111,5,18.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0003",22,2,110,6,20,0,40,,,
"Nu: 0.1, Gamma: 0.0004",22,2,110,6,20,0,40,,,
"Nu: 0.1, Gamma: 0.005",22,2,110,6,20,0,40,,,
"Nu: 0.1, Gamma: 0.05",22,2,108,8,21.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.0625",22,2,107,9,22.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.1",22,2,105,11,23.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.2",22,2,52,64,61.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.5",21,3,14,102,87.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.7",21,3,10,106,90.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.9",21,3,7,109,92.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.99",21,3,5,111,94.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0001",22,2,109,7,20.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0002",21,3,108,8,20.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0003",21,3,108,8,20.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0004",21,3,108,8,20.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.005",21,3,108,8,20.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.05",22,2,106,10,22.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0625",22,2,106,10,22.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.1",22,2,104,12,24.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.2",22,2,40,76,70,0,40,,,
"Nu: 0.2, Gamma: 0.5",21,3,10,106,90.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.7",21,3,7,109,92.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.9",21,3,6,110,93.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.99",21,3,6,110,93.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.0001",13,11,106,10,16.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0002",13,11,106,10,16.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0003",13,11,106,10,16.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0004",13,11,106,10,16.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.005",13,11,106,10,16.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.05",13,11,105,11,17.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0625",13,11,104,12,17.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.1",13,11,99,17,21.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.2",15,9,52,64,56.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.5",16,8,2,114,92.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.7",16,8,1,115,93.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.9",17,7,1,115,94.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.99",17,7,1,115,94.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.0001",6,18,55,61,47.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.0002",6,18,50,66,51.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0003",6,18,50,66,51.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0004",6,18,50,66,51.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.005",6,18,50,66,51.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.05",6,18,40,76,58.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.0625",6,18,35,81,62.14285714,0,40,,,
