Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.1",24,3,64,33,45.96774193548387,0,40,
"Nu: 0.1, Gamma: 0.2",24,3,62,35,47.58064516129033,0,40,
"Nu: 0.1, Gamma: 0.5",23,4,51,46,55.64516129032258,0,40,
"Nu: 0.1, Gamma: 0.7",23,4,38,59,66.12903225806451,0,40,
"Nu: 0.1, Gamma: 0.9",23,4,35,62,68.54838709677419,0,40,
"Nu: 0.1, Gamma: 0.99",23,4,33,64,70.16129032258065,0,40,
"Nu: 0.2, Gamma: 0.0001",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.0002",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.0003",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.0004",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.005",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.05",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.0625",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.1",21,6,60,37,46.774193548387096,0,40,
"Nu: 0.2, Gamma: 0.2",20,7,60,37,45.96774193548387,0,40,
"Nu: 0.2, Gamma: 0.5",21,6,50,47,54.83870967741935,0,40,
"Nu: 0.2, Gamma: 0.7",22,5,36,61,66.93548387096774,0,40,
"Nu: 0.2, Gamma: 0.9",22,5,33,64,69.35483870967742,0,40,
"Nu: 0.2, Gamma: 0.99",21,6,31,66,70.16129032258065,0,40,
"Nu: 0.5, Gamma: 0.0001",12,15,47,50,50.0,0,40,
"Nu: 0.5, Gamma: 0.0002",11,16,48,49,48.38709677419355,0,40,
"Nu: 0.5, Gamma: 0.0003",12,15,48,49,49.193548387096776,0,40,
"Nu: 0.5, Gamma: 0.0004",12,15,48,49,49.193548387096776,0,40,
"Nu: 0.5, Gamma: 0.005",12,15,48,49,49.193548387096776,0,40,
"Nu: 0.5, Gamma: 0.05",12,15,48,49,49.193548387096776,0,40,
"Nu: 0.5, Gamma: 0.0625",12,15,48,49,49.193548387096776,0,40,
"Nu: 0.5, Gamma: 0.1",12,15,47,50,50.0,0,40,
"Nu: 0.5, Gamma: 0.2",12,15,45,52,51.61290322580645,0,40,
"Nu: 0.5, Gamma: 0.5",13,14,37,60,58.87096774193549,0,40,
"Nu: 0.5, Gamma: 0.7",12,15,28,69,65.32258064516128,0,40,
"Nu: 0.5, Gamma: 0.9",14,13,25,72,69.35483870967742,0,40,
"Nu: 0.5, Gamma: 0.99",14,13,22,75,71.7741935483871,0,40,
"Nu: 0.7, Gamma: 0.0001",6,21,31,66,58.06451612903226,0,40,
"Nu: 0.7, Gamma: 0.0002",5,22,29,68,58.87096774193549,0,40,
"Nu: 0.7, Gamma: 0.0003",5,22,29,68,58.87096774193549,0,40,
"Nu: 0.7, Gamma: 0.0004",5,22,29,68,58.87096774193549,0,40,
"Nu: 0.7, Gamma: 0.005",5,22,29,68,58.87096774193549,0,40,
"Nu: 0.7, Gamma: 0.05",5,22,30,67,58.06451612903226,0,40,
"Nu: 0.7, Gamma: 0.0625",5,22,30,67,58.06451612903226,0,40,
"Nu: 0.7, Gamma: 0.1",5,22,29,68,58.87096774193549,0,40,
"Nu: 0.7, Gamma: 0.2",6,21,29,68,59.67741935483871,0,40,
"Nu: 0.7, Gamma: 0.5",6,21,26,71,62.096774193548384,0,40,
"Nu: 0.7, Gamma: 0.7",7,20,24,73,64.51612903225806,0,40,
"Nu: 0.7, Gamma: 0.9",6,21,19,78,67.74193548387096,0,40,
"Nu: 0.7, Gamma: 0.99",6,21,19,78,67.74193548387096,0,40,
"Nu: 0.9, Gamma: 0.0001",3,24,16,81,67.74193548387096,0,40,
"Nu: 0.9, Gamma: 0.0002",3,24,15,82,68.54838709677419,0,40,
"Nu: 0.9, Gamma: 0.0003",3,24,15,82,68.54838709677419,0,40,
"Nu: 0.9, Gamma: 0.0004",3,24,15,82,68.54838709677419,0,40,
"Nu: 0.9, Gamma: 0.005",3,24,15,82,68.54838709677419,0,40,
"Nu: 0.9, Gamma: 0.05",3,24,14,83,69.35483870967742,0,40,
"Nu: 0.9, Gamma: 0.0625",3,24,14,83,69.35483870967742,0,40,
"Nu: 0.9, Gamma: 0.1",3,24,12,85,70.96774193548387,0,40,
"Nu: 0.9, Gamma: 0.2",3,24,10,87,72.58064516129032,0,40,
"Nu: 0.9, Gamma: 0.5",3,24,1,96,79.83870967741935,0,40,
"Nu: 0.9, Gamma: 0.7",2,25,0,97,79.83870967741935,0,40,
"Nu: 0.9, Gamma: 0.9",2,25,0,97,79.83870967741935,0,40,
"Nu: 0.9, Gamma: 0.99",2,25,0,97,79.83870967741935,0,40,
"Nu: 0.99, Gamma: 0.0001",0,27,0,97,78.2258064516129,0,40,
