Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.2, Gamma: 0.1",16,3,127,27,24.85549133,0,40,,,
"Nu: 0.2, Gamma: 0.2",16,3,128,26,24.27745665,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,7,125,29,23.69942197,0,40,,,
"Nu: 0.2, Gamma: 0.7",10,9,113,41,29.47976879,0,40,,,
"Nu: 0.2, Gamma: 0.9",10,9,111,43,30.63583815,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,10,109,45,31.21387283,0,40,,,
"Nu: 0.5, Gamma: 0.0001",8,11,42,112,69.36416185,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,13,42,112,68.20809249,0,40,,,
"Nu: 0.5, Gamma: 0.0003",10,9,42,112,70.52023121,0,40,,,
"Nu: 0.5, Gamma: 0.0004",8,11,42,112,69.36416185,0,40,,,
"Nu: 0.5, Gamma: 0.005",8,11,42,112,69.36416185,0,40,,,
"Nu: 0.5, Gamma: 0.05",8,11,40,114,70.52023121,0,40,,,
"Nu: 0.5, Gamma: 0.0625",8,11,37,117,72.25433526,0,40,,,
"Nu: 0.5, Gamma: 0.1",8,11,37,117,72.25433526,0,40,,,
"Nu: 0.5, Gamma: 0.2",8,11,32,122,75.14450867,0,40,,,
"Nu: 0.5, Gamma: 0.5",7,12,28,126,76.87861272,0,40,,,
"Nu: 0.5, Gamma: 0.7",7,12,27,127,77.4566474,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,12,26,128,78.03468208,0,40,,,
"Nu: 0.5, Gamma: 0.99",7,12,26,128,78.03468208,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,15,34,120,71.67630058,0,40,,,
"Nu: 0.7, Gamma: 0.0002",4,15,33,121,72.25433526,0,40,,,
"Nu: 0.7, Gamma: 0.0003",4,15,33,121,72.25433526,0,40,,,
"Nu: 0.7, Gamma: 0.0004",4,15,33,121,72.25433526,0,40,,,
"Nu: 0.7, Gamma: 0.005",4,15,33,121,72.25433526,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,16,33,121,71.67630058,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,16,32,122,72.25433526,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,16,32,122,72.25433526,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,15,29,125,74.56647399,0,40,,,
"Nu: 0.7, Gamma: 0.5",5,14,23,131,78.61271676,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,14,23,131,78.61271676,0,40,,,
"Nu: 0.7, Gamma: 0.9",5,14,23,131,78.61271676,0,40,,,
"Nu: 0.7, Gamma: 0.99",5,14,21,133,79.76878613,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,17,10,144,84.39306358,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,17,10,144,84.39306358,0,40,,,
"Nu: 0.9, Gamma: 0.0003",2,17,10,144,84.39306358,0,40,,,
"Nu: 0.9, Gamma: 0.0004",2,17,10,144,84.39306358,0,40,,,
"Nu: 0.9, Gamma: 0.005",2,17,10,144,84.39306358,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,17,8,146,85.54913295,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,17,8,146,85.54913295,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,18,4,150,87.28323699,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,19,10,144,83.23699422,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,19,13,141,81.50289017,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,18,13,141,82.08092486,0,40,,,
