Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.5, Gamma: 0.2",15,6,69,48,45.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.5",10,11,4,113,89.13043478,0,40,,,
"Nu: 0.5, Gamma: 0.7",10,11,4,113,89.13043478,0,40,,,
"Nu: 0.5, Gamma: 0.9",11,10,1,116,92.02898551,0,40,,,
"Nu: 0.5, Gamma: 0.99",12,9,1,116,92.75362319,0,40,,,
"Nu: 0.7, Gamma: 0.0001",11,10,90,27,27.53623188,0,40,,,
"Nu: 0.7, Gamma: 0.0002",11,10,90,27,27.53623188,0,40,,,
"Nu: 0.7, Gamma: 0.0003",11,10,90,27,27.53623188,0,40,,,
"Nu: 0.7, Gamma: 0.0004",11,10,90,27,27.53623188,0,40,,,
"Nu: 0.7, Gamma: 0.005",11,10,91,26,26.8115942,0,40,,,
"Nu: 0.7, Gamma: 0.05",11,10,90,27,27.53623188,0,40,,,
"Nu: 0.7, Gamma: 0.0625",11,10,87,30,29.71014493,0,40,,,
"Nu: 0.7, Gamma: 0.1",11,10,87,30,29.71014493,0,40,,,
"Nu: 0.7, Gamma: 0.2",11,10,20,97,78.26086957,0,40,,,
"Nu: 0.7, Gamma: 0.5",9,12,1,116,90.57971014,0,40,,,
"Nu: 0.7, Gamma: 0.7",8,13,1,116,89.85507246,0,40,,,
"Nu: 0.7, Gamma: 0.9",8,13,1,116,89.85507246,0,40,,,
"Nu: 0.7, Gamma: 0.99",6,15,1,116,88.4057971,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.1",3,18,0,117,86.95652174,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,18,0,117,86.95652174,0,40,,,
