Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.52336449,3
"Nu: 0.5, Gamma: 0.05",14,6,41,114,73.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0625",13,7,39,116,73.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.1",13,7,38,117,74.28571429,0,40,,,
"Nu: 0.5, Gamma: 0.2",11,9,35,120,74.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.5",11,9,32,123,76.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.7",12,8,27,128,80,0,40,,,
"Nu: 0.5, Gamma: 0.9",12,8,26,129,80.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.99",12,8,26,129,80.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.0001",7,13,33,122,73.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0002",7,13,33,122,73.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0003",7,13,33,122,73.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0004",7,13,33,122,73.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.005",7,13,33,122,73.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.05",6,14,30,125,74.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.0625",6,14,30,125,74.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.1",6,14,32,123,73.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.2",7,13,34,121,73.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.5",9,11,24,131,80,0,40,,,
"Nu: 0.7, Gamma: 0.7",8,12,24,131,79.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.9",8,12,22,133,80.57142857,0,40,,,
"Nu: 0.7, Gamma: 0.99",8,12,21,134,81.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,19,10,145,83.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,19,10,145,83.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,19,10,145,83.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,19,10,145,83.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,19,13,142,81.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,19,18,137,78.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,19,19,136,78.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,19,18,137,78.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,18,13,142,82.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.5",3,17,3,152,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.7",3,17,2,153,89.14285714,0,40,,,
"Nu: 0.9, Gamma: 0.9",3,17,4,151,88,0,40,,,
"Nu: 0.9, Gamma: 0.99",3,17,4,151,88,0,40,,,
