Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.30769231,329
"Nu: 0.2, Gamma: 0.2",11,1,104,14,19.23076923,0,40,,,
"Nu: 0.2, Gamma: 0.5",11,1,102,16,20.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.7",10,2,94,24,26.15384615,0,40,,,
"Nu: 0.2, Gamma: 0.9",9,3,87,31,30.76923077,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,3,83,35,33.84615385,0,40,,,
"Nu: 0.5, Gamma: 0.0001",7,5,60,58,50,0,40,,,
"Nu: 0.5, Gamma: 0.0002",7,5,60,58,50,0,40,,,
"Nu: 0.5, Gamma: 0.0003",7,5,60,58,50,0,40,,,
"Nu: 0.5, Gamma: 0.0004",7,5,60,58,50,0,40,,,
"Nu: 0.5, Gamma: 0.005",9,3,60,58,51.53846154,0,40,,,
"Nu: 0.5, Gamma: 0.05",9,3,60,58,51.53846154,0,40,,,
"Nu: 0.5, Gamma: 0.0625",9,3,60,58,51.53846154,0,40,,,
"Nu: 0.5, Gamma: 0.1",9,3,60,58,51.53846154,0,40,,,
"Nu: 0.5, Gamma: 0.2",9,3,61,57,50.76923077,0,40,,,
"Nu: 0.5, Gamma: 0.5",10,2,68,50,46.15384615,0,40,,,
"Nu: 0.5, Gamma: 0.7",9,3,57,61,53.84615385,0,40,,,
"Nu: 0.5, Gamma: 0.9",6,6,51,67,56.15384615,0,40,,,
"Nu: 0.5, Gamma: 0.99",6,6,48,70,58.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,35,83,66.92307692,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,9,33,85,67.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,9,33,85,67.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,9,33,85,67.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,9,33,85,67.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,8,34,84,67.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,8,34,84,67.69230769,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,32,86,69.23076923,0,40,,,
